fishID,Date,Chamber,SMR,sdSMR,MaxMR,MinMR,FirstMR,MeanTemp...C.,Weight..kg.,Chamber.Volume..L.,BlankCorrection,Species,TL,SL,W,Close_Time,Flush_Time,Vol_Ch,Nb_Ch,Catch_Date,Run_Date,Close_Time_Blank,Flush_Time_Blank,Note,Capture,Firesting,Data,DataBlank,Vol_Ch_Bl,Nb_Ch_Bl,Start_Time,Start_Time_Bl,Chambersize
MOO18-R134,7/4/18 11:53,6,0.080150608,0.001773383,0.332397175,0.077457596,0.215988373,28.63230983,0.000385,0.006659,YES,Gnatholepis cauerensis,34.1,27,0.000385,120,180,0.006659,6,NA,4/7/18,420,180,,Lagon,FS2,FS2_04-07-18.txt,FS2blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R135,7/4/18 11:53,7,0.101420423,0.003435922,0.231138936,0.095979686,0.251228228,28.62969997,0.000564,0.006659,YES,Fusigobius neophytus,39,31,0.000564,120,180,0.006659,7,NA,4/7/18,420,180,,Lagon,FS2,FS2_04-07-18.txt,FS2blank_04-07-18.txt,0.006659,8,11:56:01,9:28:01,XS
MOO18-R136,7/5/18 12:14,1,0.062007388,0.001084095,0.19655918,0.060274604,0.222447864,28.25894786,0.000276,0.006659,YES,Gnatholepis cauerensis,31.3,25,0.000276,180,180,0.006659,1,NA,5/7/18,420,180,,Lagon,FS1,FS1_05-07-18.txt,FS1blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R137,7/5/18 12:14,2,0.059266616,0.00108359,0.200788181,0.057607619,0.219260035,28.25736686,0.000228,0.006659,YES,Gnatholepis cauerensis,30,23.1,0.000228,180,180,0.006659,2,NA,5/7/18,420,180,,Lagon,FS1,FS1_05-07-18.txt,FS1blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R138,7/5/18 12:14,3,0.068844054,0.000536382,0.164384499,0.067539095,-0.260258979,28.25565518,0.000224,0.006659,YES,Gnatholepis cauerensis,29.2,23,0.000224,180,180,0.006659,3,NA,5/7/18,420,180,,Lagon,FS1,FS1_05-07-18.txt,FS1blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R139,7/5/18 12:14,4,0.103078741,0.001260852,0.212742325,0.101065932,0.207170987,28.25391425,0.000603,0.006659,YES,Fusigobius neophytus,39.1,33,0.000603,180,180,0.006659,4,NA,5/7/18,420,180,,Lagon,FS1,FS1_05-07-18.txt,FS1blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R140,7/5/18 12:14,5,0.080108498,0.001262874,0.251126306,0.078289325,0.246729154,28.21454231,0.000446,0.006659,YES,Gnatholepis cauerensis,36,29.2,0.000446,180,180,0.006659,5,NA,5/7/18,420,180,,Lagon,FS2,FS2_05-07-18.txt,FS2blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R141,7/5/18 12:14,6,0.065580788,0.001132884,0.206406073,0.063797348,0.230428013,28.21244137,0.000264,0.006659,YES,Gnatholepis cauerensis,32.8,25,0.000264,180,180,0.006659,6,NA,5/7/18,420,180,,Lagon,FS2,FS2_05-07-18.txt,FS2blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R142,7/5/18 12:14,7,0.066898306,0.000789525,0.13716526,0.065837123,0.108163537,28.21043584,0.000322,0.006659,YES,Fusigobius neophytus,33,26,0.000322,180,180,0.006659,7,NA,5/7/18,420,180,,Lagon,FS2,FS2_05-07-18.txt,FS2blank_05-07-18.txt,0.006659,8,12:17:01,8:53:01,XS
MOO18-R143,7/10/18 8:28,1,0.048254817,0.000651576,0.113288573,0.047196475,0.11904423,27.87346881,0.000349,0.006659,YES,Fusigobius neophytus,33.6,27.1,0.000349,420,180,0.006659,1,NA,10/7/18,420,180,,Lagon,FS1,FS1_10-07-18.txt,FS1blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R144,7/10/18 8:28,2,0.04112468,0.00061211,0.090023514,0.040414378,0.050821002,27.87359834,0.000163,0.006659,YES,Gnatholepis cauerensis,27.2,21.6,0.000163,420,180,0.006659,2,NA,10/7/18,420,180,,Lagon,FS1,FS1_10-07-18.txt,FS1blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R145,7/10/18 8:28,3,0.07135605,0.001217519,0.117611491,0.069556706,0.174553368,27.87382584,0.00022,0.006659,YES,Gnatholepis cauerensis,30,23,0.00022,420,180,0.006659,3,NA,10/7/18,420,180,,Lagon,FS1,FS1_10-07-18.txt,FS1blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R146,7/10/18 8:28,4,0.049162704,0.000584351,0.107159215,0.048246862,0.137427068,27.87428629,0.000136,0.006659,YES,Gnatholepis cauerensis,25.2,19.9,0.000136,420,180,0.006659,4,NA,10/7/18,420,180,,Lagon,FS1,FS1_10-07-18.txt,FS1blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R147,7/10/18 8:28,5,0.040771276,0.00056165,0.084093645,0.039672108,0.103835499,27.8269841,0.000232,0.006659,YES,Fusigobius neophytus,31,24.5,0.000232,420,180,0.006659,5,NA,10/7/18,420,180,,Lagon,FS2,FS2_10-07-18.txt,FS2blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R148,7/10/18 8:28,6,NA,NA,NA,Inf,NA,27.82737105,NA,0.006659,YES,Fusigobius neophytus,19,16,NA,420,180,0.006659,6,NA,10/7/18,420,180,,Lagon,FS2,FS2_10-07-18.txt,FS2blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R149,7/10/18 8:28,7,NA,NA,NA,Inf,NA,27.8276721,NA,0.006659,YES,Gnatholepis cauerensis,28.1,23,NA,420,180,0.006659,7,NA,10/7/18,420,180,,Lagon,FS2,FS2_10-07-18.txt,FS2blank_10-07-18.txt,0.006659,8,8:32:01,8:27:01,XS
MOO18-R150,7/11/18 10:31,1,0.046757632,0.000489113,0.107955793,0.045789185,0.173111961,25.28393313,0.000258,0.006659,YES,Gnatholepis cauerensis,30.6,29.1,0.000258,420,180,0.006659,1,NA,11/7/18,420,180,,Lagon,FS1,FS1_11-07-18.txt,FS1blank_11-07-18.txt,0.006659,3,10:32:01,8:34:01,XS
MOO18-R151,7/11/18 10:31,2,0.033942101,0.000384061,0.07910773,0.033538626,0.094994667,25.26518347,0.000239,0.006659,YES,Fusigobius neophytus,30.2,29,0.000239,420,180,0.006659,2,NA,11/7/18,420,180,,Lagon,FS1,FS1_11-07-18.txt,FS1blank_11-07-18.txt,0.006659,3,10:32:01,8:34:01,XS
MOO18-R152,7/12/18 13:32,1,0.130464417,0.001328968,0.350784589,0.128509013,0.386290089,27.73342892,0.001032,0.03329,YES,Fusigobius neophytus,47.2,37,0.001032,720,180,0.03329,1,NA,12/7/18,720,180,,Lagon,FS1,FS1_12-07-18.txt,FS1blank_12-07-18.txt,0.03631,5,13:34:01,13:04:01,S
MOO18-R153,7/12/18 13:32,2,0.119990396,0.001974016,0.371075324,0.117444518,0.330878199,27.74589926,0.000988,0.03404,YES,Fusigobius neophytus,46.2,37,0.000988,720,180,0.03404,2,NA,12/7/18,720,180,,Lagon,FS1,FS1_12-07-18.txt,FS1blank_12-07-18.txt,0.03631,5,13:34:01,13:04:01,S
MOO18-R154,7/12/18 13:32,3,0.12881225,0.003808888,0.189980874,0.125229693,0.268610827,27.75982786,0.001424,0.0348,YES,Fusigobius neophytus,51,40.9,0.001424,720,180,0.0348,3,NA,12/7/18,720,180,,Lagon,FS1,FS1_12-07-18.txt,FS1blank_12-07-18.txt,0.03631,5,13:34:01,13:04:01,S
MOO18-R155,7/12/18 13:32,4,0.104213938,0.001023889,0.259840086,0.102775581,0.381923083,27.77513111,0.000883,0.03555,YES,Gnatholepis cauerensis,48,36.9,0.000883,720,180,0.03555,4,NA,12/7/18,720,180,,Lagon,FS1,FS1_12-07-18.txt,FS1blank_12-07-18.txt,0.03631,5,13:34:01,13:04:01,S
